,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,6536.607801586339,6392.065882399358,6675.869964173251
306,2022-08-23,6614.603935815575,6471.305037275393,6765.155492586871
307,2022-08-24,6693.623712398796,6542.0977453684045,6836.363574086182
308,2022-08-25,6817.314233555774,6666.379696715321,6955.33838653988
309,2022-08-26,6881.018095245845,6719.9271422443,7037.618945133305
312,2022-08-29,7117.956533065959,6959.196641065693,7271.225026180407
313,2022-08-30,7177.133627759468,7011.375377692573,7333.273546949776
314,2022-08-31,7233.385235157682,7064.012864055826,7391.71555735132
315,2022-09-01,7331.096909050876,7162.927870876548,7497.23195429112
316,2022-09-02,7365.450582034058,7179.448125014477,7534.5037785402765
